17:09:26.568	127.0.0.1:53702	admin	ERROR	Stopped at , 1/17: Syntax: CREATE [BACKUP|DATABASE|INDEX|USER] [...] Create database, index, user, backup or event. Creates a new database, index, user, backup or event: - BACKUP [name]: creates a backup of the database [name] - DATABASE [name] ([input]): creates the database [name] with an optional [input] - INDEX [TEXT|ATTRIBUTE|TOKEN|FULLTEXT]: creates the specified index - USER [name] ([password]): creates the specified user	1.14 ms
17:09:26.570	127.0.0.1:53702	admin	REQUEST	EXIT	0.44 ms
17:09:26.570	127.0.0.1:53702	admin	OK		0.23 ms
17:09:55.914	127.0.0.1:53774	admin	REQUEST	create database /Users/arung/Drive/Work_Space/QIK_Space/QIK/BaseX/data/QIK	0.67 ms
17:09:55.916	127.0.0.1:53774	admin	ERROR	Stopped at , 1/17: Syntax: CREATE [BACKUP|DATABASE|INDEX|USER] [...] Create database, index, user, backup or event. Creates a new database, index, user, backup or event: - BACKUP [name]: creates a backup of the database [name] - DATABASE [name] ([input]): creates the database [name] with an optional [input] - INDEX [TEXT|ATTRIBUTE|TOKEN|FULLTEXT]: creates the specified index - USER [name] ([password]): creates the specified user	1.33 ms
17:09:55.917	127.0.0.1:53774	admin	REQUEST	EXIT	0.39 ms
17:09:55.917	127.0.0.1:53774	admin	OK		0.29 ms
17:10:50.397	127.0.0.1:53902	admin	REQUEST	CREATE DB /Users/arung/Drive/Work_Space/QIK_Space/QIK/BaseX/data/QIK	0.56 ms
17:10:50.399	127.0.0.1:53902	admin	ERROR	Stopped at , 1/11: Syntax: CREATE [BACKUP|DATABASE|INDEX|USER] [...] Create database, index, user, backup or event. Creates a new database, index, user, backup or event: - BACKUP [name]: creates a backup of the database [name] - DATABASE [name] ([input]): creates the database [name] with an optional [input] - INDEX [TEXT|ATTRIBUTE|TOKEN|FULLTEXT]: creates the specified index - USER [name] ([password]): creates the specified user	1.27 ms
17:10:50.401	127.0.0.1:53902	admin	REQUEST	EXIT	0.42 ms
17:10:50.401	127.0.0.1:53902	admin	OK		0.36 ms
17:11:32.752	127.0.0.1:53993	admin	REQUEST	CREATE DATABASE /Users/arung/Drive/Work_Space/QIK_Space/QIK/BaseX/data/QIK	0.53 ms
17:11:32.753	127.0.0.1:53993	admin	ERROR	Stopped at , 1/17: Syntax: CREATE [BACKUP|DATABASE|INDEX|USER] [...] Create database, index, user, backup or event. Creates a new database, index, user, backup or event: - BACKUP [name]: creates a backup of the database [name] - DATABASE [name] ([input]): creates the database [name] with an optional [input] - INDEX [TEXT|ATTRIBUTE|TOKEN|FULLTEXT]: creates the specified index - USER [name] ([password]): creates the specified user	1.19 ms
17:11:32.755	127.0.0.1:53993	admin	REQUEST	EXIT	0.46 ms
17:11:32.756	127.0.0.1:53993	admin	OK		0.32 ms
17:11:53.579	127.0.0.1:54042	admin	REQUEST	CREATE DATABASE '/Users/arung/Drive/Work_Space/QIK_Space/QIK/BaseX/data/QIK'	0.38 ms
17:11:53.581	127.0.0.1:54042	admin	ERROR	Stopped at , 1/18: Syntax: CREATE [BACKUP|DATABASE|INDEX|USER] [...] Create database, index, user, backup or event. Creates a new database, index, user, backup or event: - BACKUP [name]: creates a backup of the database [name] - DATABASE [name] ([input]): creates the database [name] with an optional [input] - INDEX [TEXT|ATTRIBUTE|TOKEN|FULLTEXT]: creates the specified index - USER [name] ([password]): creates the specified user	1.05 ms
17:11:53.582	127.0.0.1:54042	admin	REQUEST	EXIT	0.37 ms
17:11:53.585	127.0.0.1:54042	admin	OK		2.75 ms
17:12:31.601	127.0.0.1:54134	admin	REQUEST	CREATE DB database '/Users/arung/Drive/Work_Space/QIK_Space/QIK/BaseX/data/QIK'	0.63 ms
17:12:31.605	127.0.0.1:54134	admin	ERROR	Resource "/Users/arung/Drive/Work_Space/QIK_Space/QIK/BaseX/bin/'/Users/arung/Drive/Work_Space/QIK_Space/QIK/BaseX/data/QIK'" not found.	3.84 ms
17:12:31.605	127.0.0.1:54134	admin	REQUEST	EXIT	0.41 ms
17:12:31.606	127.0.0.1:54134	admin	OK		0.28 ms
17:12:52.369	127.0.0.1:54182	admin	REQUEST	CREATE DB database	0.63 ms
17:12:52.387	127.0.0.1:54182	admin	OK	Database 'database' created in 16.81 ms.	18.78 ms
17:12:52.388	127.0.0.1:54182	admin	REQUEST	OPEN /Users/arung/Drive/Work_Space/QIK_Space/QIK/BaseX/data/QIK	0.32 ms
17:12:52.388	127.0.0.1:54182	admin	ERROR	Stopped at , 1/6: Syntax: OPEN [name] ([path]) Open database. Opens the database [name], filtered by [path].	0.11 ms
17:12:52.389	127.0.0.1:54182	admin	REQUEST	EXIT	0.36 ms
17:12:52.389	127.0.0.1:54182	admin	OK		0.46 ms
17:13:35.479	127.0.0.1:54278	admin	REQUEST	DROP DB database	0.81 ms
17:13:35.485	127.0.0.1:54278	admin	OK	Database 'database' was dropped.	5.81 ms
17:13:35.486	127.0.0.1:54278	admin	REQUEST	EXIT	0.32 ms
17:13:35.486	127.0.0.1:54278	admin	OK		0.22 ms
17:13:47.618	127.0.0.1:54309	admin	REQUEST	DROP DB db	0.55 ms
17:13:47.628	127.0.0.1:54309	admin	OK	Database 'db' was dropped.	10.18 ms
17:13:47.629	127.0.0.1:54309	admin	REQUEST	EXIT	0.38 ms
17:13:47.629	127.0.0.1:54309	admin	OK		0.28 ms
17:14:33.507	127.0.0.1:54411	admin	REQUEST	CREATE DB QIK	0.43 ms
17:14:33.519	127.0.0.1:54411	admin	OK	Database 'QIK' created in 10.36 ms.	12.39 ms
17:14:33.520	127.0.0.1:54411	admin	REQUEST	OPEN QIK	0.46 ms
17:14:33.521	127.0.0.1:54411	admin	OK	Database 'QIK' was opened in 0.08 ms.	0.47 ms
17:14:33.521	127.0.0.1:54411	admin	REQUEST	ADD TO a.xml [...]	0.41 ms
17:14:33.530	127.0.0.1:54411	admin	OK	Resource(s) added in 6.44 ms.	8.35 ms
17:14:33.531	127.0.0.1:54411	admin	REQUEST	XQUERY collection('QIK')	0.41 ms
17:14:33.534	127.0.0.1:54411	admin	OK	Query executed in 2.33 ms.	2.91 ms
17:14:33.535	127.0.0.1:54411	admin	REQUEST	EXIT	0.37 ms
17:14:33.536	127.0.0.1:54411	admin	OK		0.44 ms
17:16:42.143	127.0.0.1:54690	admin	REQUEST	CREATE DB QIK	0.52 ms
17:16:42.157	127.0.0.1:54690	admin	OK	Database 'QIK' created in 11.95 ms.	14.19 ms
17:16:42.158	127.0.0.1:54690	admin	REQUEST	OPEN QIK	0.4 ms
17:16:42.158	127.0.0.1:54690	admin	OK	Database 'QIK' was opened in 0.02 ms.	0.36 ms
17:16:42.159	127.0.0.1:54690	admin	REQUEST	ADD TO a.xml [...]	0.21 ms
17:16:42.166	127.0.0.1:54690	admin	OK	Resource(s) added in 5.26 ms.	7.07 ms
17:16:42.167	127.0.0.1:54690	admin	REQUEST	XQUERY '//NN[text()='dog']/following::VBG[text()='chasing']/following::NN[text()='cat']'	0.5 ms
17:16:42.168	127.0.0.1:54690	admin	ERROR	Stopped at ., 1/16: [XPST0003] Unexpected end of query: 'dog']/following...'.	0.92 ms
17:16:42.169	127.0.0.1:54690	admin	REQUEST	EXIT	0.33 ms
17:16:42.169	127.0.0.1:54690	admin	OK		0.57 ms
17:17:15.196	127.0.0.1:54763	admin	REQUEST	CREATE DB QIK	0.35 ms
17:17:15.206	127.0.0.1:54763	admin	OK	Database 'QIK' created in 8.01 ms.	9.86 ms
17:17:15.207	127.0.0.1:54763	admin	REQUEST	OPEN QIK	0.4 ms
17:17:15.207	127.0.0.1:54763	admin	OK	Database 'QIK' was opened in 0.04 ms.	0.33 ms
17:17:15.208	127.0.0.1:54763	admin	REQUEST	ADD TO a.xml [...]	0.53 ms
17:17:15.215	127.0.0.1:54763	admin	OK	Resource(s) added in 5.66 ms.	7.15 ms
17:17:15.216	127.0.0.1:54763	admin	REQUEST	XQUERY '//NN[text()='dog']/following::VBG[text()='chasing']/following::NN[text()='cat']'	0.29 ms
17:17:15.216	127.0.0.1:54763	admin	ERROR	Stopped at ., 1/16: [XPST0003] Unexpected end of query: 'dog']/following...'.	0.49 ms
17:17:15.217	127.0.0.1:54763	admin	REQUEST	EXIT	0.35 ms
17:17:15.217	127.0.0.1:54763	admin	OK		0.59 ms
17:17:42.909	127.0.0.1:54826	admin	REQUEST	CREATE DB QIK	0.62 ms
17:17:42.923	127.0.0.1:54826	admin	OK	Database 'QIK' created in 11.11 ms.	13.19 ms
